;Nama;Spesialisasi;Fakultas;Link Scholar
113;Maimun Rizalihadi., Ir., M.Sc.Eng ;Hidrologi, Hidraulika, Teknik Irigasi, Teknik Sungai, Angkutan Sediment dan Sumber Daya Air;FT;https://scholar.google.co.id/citations?hl=id&user=JJX8EHsAAAAJ
114;Marwan., Prof. Dr. Ir;Biodiesel, Reaktor Mikrowave, Reaktor Monolith, Katalis Padat;FT;https://scholar.google.com/citations?user=llDhB6EAAAAJ&hl=en
115;Medyan Riza., Prof. Dr. Ir., M.Eng ;Teknologi Polimer;FT;https://scholar.google.co.id/citations?user=OPxyT_cAAAAJ&hl=en
116;Mirna Rahmah Lubis., ST., MS ;Teknik Kimia;FT;https://scholar.google.co.id/citations?hl=en&user=ReRCp74AAAAJ
117;Mirza Fuady., Dr., ST., MT. ;Arsitektur, Perancangan Kota;FT;https://scholar.google.com/citations?authuser=2&user=-0JiS-0AAAAJ
118;Mubarak., Dr., S.T., M.T. ;Construction Project Management;FT;https://scholar.google.co.id/citations?user=DBazo_kAAAAJ&hl=en&authuser=1
119;Muhammad Rizal., Dr., S.T, M.Sc ;Tool Condition Monitoring, Machining Processes, Mechanical Sensor;FT;https://scholar.google.co.id/citations?user=GxQEtL0AAAAJ&hl=id
120;Muhammad Yanis., S.Si., M.Si ;Geophysics, ELectromagnetic Methods, Gravity and Magnetic, Archeo-geophysics;FT;https://scholar.google.co.id/citations?user=Ek9rvigAAAAJ
121;Munira Sungkar., Dr., S.T., M.T. ;Slope stability, Geotechnique;FT;https://scholar.google.co.id/citations?user=TZvW0qQAAAAJ&hl=en
122;Munirwansyah., Prof. Dr. Ir., M.Sc ;Geoteknik;FT;https://scholar.google.co.id/citations?hl=en&btnA=1&user=yG5SYuYAAAAJ
123;Muzakir., S.Si., M.Si ;Applied Geophysics, Sedimentation, Electromagnetic, Geothermal;FT;https://scholar.google.com/citations?user=5ukrh3sAAAAJ&hl=id
124;Nasaruddin., Prof. Dr. Ir., S.T.,M.Eng., IPU ;Sistem Komunikasi Digital;FT;https://scholar.google.com/citations?user=w6RX6fUAAAAJ&hl=en
125;Nasrul., Dr., ST, MT ;Membrane technology, water and wastewater treatment, Separation technology;FT;https://scholar.google.co.id/citations?user=x_69xeoAAAAJ&hl=en
126;Nina Shaskia., S.T., M. Sc. ;;FT;https://scholar.google.com/citations?user=GWxnwcoAAAAJ&hl=en
127;Nora Abdullah., S.T., M.Eng.Sc ;Analisis, Desain dan Asesmen Struktur Bangunan Beton Bertulang;FT;https://scholar.google.com/citations?user=TKc9zAIAAAAJ&hl=en
128;Nurul Malahayati., ST., M.Sc ;Manajemen Proyek Konstruksi;FT;https://scholar.google.co.id/citations?hl=en&user=vgpFZxEAAAAJ
129;Prima Denny Sentia., ST., M.IT., IPM. ;Supply Chain Management, Layout Design and Production System;FT;https://scholar.google.co.id/citations?user=7xRQ3lgAAAAJ&hl=en
